web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype,score1,score2,score3,score4,score5,score6
1646395386-1163,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,this is the 4th time i stayed at the property ( ocean tower ). its excellent. i would like to visit pattaya and amari time and again. the breakfast is a grand affair. dining at manta and the tavern is very good. the bar at the lobby level is well stocked and good ambience.,narendra1964,??.?.-14,5,"Dibrugarh, India",Solo,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1162,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,I recently stayed here on a business trip although only for a couple of days.  The hotel is fantastic with great facilities and food.  The breakfast buffet has food for all cultures and tastes which was to a high standard.  The room was clean and comfortable and all staff who I dealt with were very and polite.  Will definately stay here again.,Jon  H,?.?.-14,5,"Melbourne, Australia",Business,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1031,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"It was my second visit and I decided to give a 4 stars review instead of 1 star at last as the honesty of the staff saved it.
On my way to Pattaya, I knew some friends from China. It was their first time and they have not booked their hotel. So I recommended Amari Ocean and we stayed for 3 nights.
I decide not to disclose the unhappy experience that I had in one of the day as there was an incident happened value more to be mentioned.
Few years ago, I had a bad experience in Holiday XXX in Phuket as I got stolen few thousands (HKD) in the hotel room where it was mistakenly not kept in the safe. So, I reminded myself to keep valuable stuff in the safe every time.
This time, I put my money (HKD8000) in the safe, however, I forgot to unlock it. I saw a note on the bed stating that the safe was not lock while I was away. 
OMG, I just left the room for 20 minutes to visit my friends on the other floor and I was told that the lockers was not locked. I contact the front office immediately and manager came up about 10 minutes later.
I was so worry during the waiting as I had an bad experience before and hoping for a miracle. When I met the manager, she tried to open it for a few times but due to some technical problems, she was unable to open it and need to get a technician to do it, It took another 15 minutes. 
The safe was finally opened and what I saw was, all the money was inside and there were none gone missing. Thanks God and thanks Amari. It was my first day of trip and all my money was there, if I lost them, I was going to had a poor trip.
Sorry that I forgot the name of the manager but I promised to write a review again. I told the manager about the negative incident that happened to me during my stay and I was about to give the hotel a negative comment and I showed her the review that I have prepared..
Thanks to the hotel again and the training to their staffs. Service with honesty is the most important element to me now. You never know what happen inside the room while you were away. You know how difficult to control the evil mind when you see the money with no one around.
Manager who see this review please help me to find out who the staffs (house keeping and managers) were and I would love to met them again on my next visit.
Sorry that I need to give you a 4 stars as there was another incident happened for the deduction. I believe you will be given a 5 stars for next time! 
Looking forward for my next visit.",Reorado C,?.?.-17,4,,Friends,5-Location,5-Cleanliness,4-Service,null,null,null
1646395386-966,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Conveinent to beach and all city attractions. Would stay here again. Hotel was undergoing rennovations but was still in top shape. Very nice and spacious room. Daily breakfast was included in my rate, many choices.",chrisgreenlee2018,?.?.-18,5,,Business,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1119,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"The hotel itself is very nice, not cheap when compared to other hotels in the area.I booked high floor, but when arrived they tried to put us on the 5th floor, which i rejected. we did receive a room on the 15th floor.As opposed to other guests,who glorify the place and its huge wall and cellings, I did find that the staff in few instances were lacking basic information, and this without going into details. When you sit in the Tavern, and being served with cold ribs, or when you ask the reception if there is exit tax at the airport, and you get 3 different figures and in fact no tax is applied(used to be in the past), or when you have breakfast, and suddenly, someone comes to wipe the dust on the floor, causing the dust to go up in the air - thats crazy. I ordered a massure to come and give me massage. The guy came and went with me to the reception to hand his ID
the recetionist demanded Baht 1000 from me!!!!  what for? my wife was having here massage at the hotel spa, , so what is this Baht 1000?? unheared of.
She took back here demand.
To summon up this report, staff should be more trained and more compitable, as otherwise big walls, nice reception and rooms, have no meaning",yaary177,??.?.-15,3,Israel,Couple,3-Value,4-Cleanliness,null,null,null,null
1646395386-891,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Good location, closed to shopping mall the room is clean and function is cover all what we needs, a lots activities for kids and family, nice view and excellence service, Executive club is worth for money,",Piched,??.?.-21,5,,null,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-922,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Superb clean. Full line of breakfast buffet. Water park is huge. Comfy bed. Gym quite small. Good service. Will absolutely come back. Location is good. Close to big mall,terminal 21 so that you gonna enjoy best restaurant and dessert cafe there.",NiceTheTraveller,?.?.-19,5,"Bangkok, Thailand",Couple,5-Value,4-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1055,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Fantastic rooms with gorgeous panoramic ocean view and pool view. The breakfast had everything you could think of and the rooms were clean and luxurious. I found the Hotel great in all aspects of service I would definitely recommend this to anyone visiting pattaya.,Footloose_trv,?.?.-16,4,delhi,Family,5-Location,4-Cleanliness,4-Service,null,null,null
1646395386-909,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We booked a 3-bedroom suite for a family getaway. The room was spacious but that's it. Terrible service ruined everything.
The first impression was that we found trash left in several bins and room was dirty with leftover. Not sure if they cleaned the room but provided slippers were still wet so that might answer the question. The bathroom also had smelly sewage.
The next day, we called housekeeping before we went out only to come back and found that no one came to clean the room. We called guest service to ask why housekeeping wasn't done. Initially, they even tried to blame us for putting ""Do Not Disturb"" sign on which we definitely did not do it. Later, they admitted that they were short of manpower.
Actually, they were understaffed throughout the hotel. For example, staff at the breakfast room ran around like a headless chicken while guests had to find and arrange their own tables.
The hotel claim to be a 5-star which seems to be true in terms of price but their service is no better than those of budget hotels.",tar182,?.?.-20,2,"Bangkok, Thailand",Family,null,null,null,null,null,null
1646395386-1123,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We stayed in this hotel for 3 nights in May 2015. The rooms, facilities, garden, pool everything is real 5 star quality. we stayed in a family room which was very spacious with bunk beds for kids.The location is really good, its in front of the beach and you can catch a tuk-tuk right at the hotel entry. 
I booked directly at Amari website and understood that the hotel do not charge anything for extra beds (we did'nt need it anyway since we were in family room). Travel sites like MMT etc. are quoting extra charges.
We also used the spa in the hotel but I suggest to go out, you can easily find very decent massage centers everywhere at very reasonable price. For the ones traveling with kids, the kids club in the Amari garden is a good option where you can leave your kid for few hours in the day.
I accidentally left the safe open on our second day it was really good of the housekeeping staff to leave a note and everything else in the safe was untouched.
I would rate them 5/5 for the overall experience.",Piyush P,?.?.-15,5,"Hyderabad, India",Family,5-Value,5-Cleanliness,5-Service,null,null,null
1646395386-1056,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This Amari property is situated at one end of the Beach Road in Pattaya. It is at the quieter end of the road, so if you want a relatively peaceful atmosphere, this is it. Fairly good and quite location with a good view of the sea. Rooms are pretty comfortable with tiled floor and open plan bathrooms. Has a large tub in the room based on open plan and a separate Shower stall.  Bedroom amenities are as per regular standard. Breakfast is also quite good with generally all kinds of food available. The hotel has a restaurant/bar facing the sea, which has outdoor seating also, where you can have a snack/meal and a drink anytime of the day. The property also boasts of a restaurant by the name of Mantra which is rated good. As you step of of the hotel and walk a kilometre or so on the beach road, the shopping places start. Beach Road No. 2 is at the back, a five or so minutes walk. Overall a nice place to stay in Pattaya.",sainbasha,??.?.-17,4,"Karachi, Pakistan",Friends,null,null,null,null,null,null
